COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,4/1/2018,45:25.2,0157B1,COMP,PRESS-RELEASE,B21D0A393573A4A61C5E54E4BFA99D2A,45,1,4,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,55:02.0,0157B1,COMP,PRESS-RELEASE,D98CF06E2821ABD323FA9E72E254DF60,45,3,7,50,50,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:00.4,0157B1,COMP,PRESS-RELEASE,5F6F43C65A5CAC3127633C7512540C7E,45,3,12,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:08.4,0157B1,COMP,PRESS-RELEASE,D69C2CC0A001B3949C01D10F39F76898,45,1,3,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,30:00.3,0157B1,COMP,PRESS-RELEASE,CEA8D9A5624C4A8A218E412BCAAF9C47,45,2,4,100,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:00.6,0157B1,COMP,PRESS-RELEASE,5F30ED56B666FBF156A4C28CE6AC3186,45,3,14,50,100,50,50,100,100,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:09.5,0157B1,COMP,PRESS-RELEASE,170835A1FD6D8736174ADE57476F4A9B,45,3,4,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,30:20.5,0157B1,COMP,PRESS-RELEASE,9520B1124EF31F7A75D37FBA7900842B,45,2,13,100,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,31:09.8,0157B1,COMP,PRESS-RELEASE,A4731B6A6444EDA38A8DF8A463AED35E,45,2,13,100,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,35:01.8,0157B1,COMP,PRESS-RELEASE,C45FCBF18AB34CE9F39199AEB5332B49,45,1,1,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:00.7,0157B1,COMP,PRESS-RELEASE,913DEC9A215D988BB2CFFE571688055B,45,1,5,50,50,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:01.1,0157B1,COMP,PRESS-RELEASE,2BEAE1FE2B3125A53B2B35AE7B95337E,45,1,2,50,50,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:01.2,0157B1,COMP,PRESS-RELEASE,64C26D1B60A059114611C634D2DEED4A,45,1,2,50,100,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:22.4,0157B1,COMP,PRESS-RELEASE,D31059152DD44E4315F2381F69A103D9,45,1,3,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,30:00.3,0157B1,COMP,PRESS-RELEASE,B23989987D35C45ADFE307CE54A8BB8E,45,3,7,50,100,50,50,100,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,50:02.5,0157B1,COMP,PRESS-RELEASE,08969C90494C8B3561C42540D754FD27,45,1,3,50,50,50,50,50,50,50,50,4/1/2018,,
